"gene_id","gene_symbol","gene_name"
"MMT00000249","Pfkfb3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
"MMT00000256",NA,NA
"MMT00000258","4632423N09Rik","RIKEN cDNA 4632423N09 gene"
"MMT00000262",NA,NA
"MMT00000263","1700001P01Rik","RIKEN cDNA 1700001P01 gene"
"MMT00000265","BC017634","cDNA sequence BC017634"
"MMT00000266","Col4a5","procollagen, type IV, alpha 5"
"MMT00000267",NA,NA
"MMT00000268",NA,NA
"MMT00000269","Gzmg","granzyme G"
"MMT00000275","Pglyrp2","peptidoglycan recognition protein 2"
"MMT00000279","2310005G05Rik","RIKEN cDNA 2310005G05 gene"
"MMT00000283","2810043G22Rik","RIKEN cDNA 2810043G22 gene"
"MMT00000284","Sap18","Sin3-associated polypeptide 18"
"MMT00000291","9430057O19Rik","RIKEN cDNA 9430057O19 gene"
"MMT00000292","5330439C02Rik","RIKEN cDNA 5330439C02 gene"
"MMT00000295","C1qtnf3","C1q and tumor necrosis factor related protein 3"
"MMT00000296","4930542N07Rik","RIKEN cDNA 4930542N07 gene"
"MMT00000302",NA,NA
"MMT00000304",NA,NA
"MMT00000305","Bhlhb4","basic helix-loop-helix domain containing, class B4"
"MMT00000309","2410003L11Rik","RIKEN cDNA 2410003L11 gene"
"MMT00000321","4930430K04Rik","RIKEN cDNA 4930430K04 gene"
"MMT00000323",NA,NA
"MMT00000334","Brp44l","brain protein 44-like"
"MMT00000338","Arfip2","ADP-ribosylation factor interacting protein 2"
"MMT00000340","9130416B15",NA
"MMT00000349","Hpcal4","hippocalcin-like 4"
"MMT00000351","Myl6","myosin, light polypeptide 6, alkali, smooth muscle and non-muscle"
"MMT00000355","Rps2","ribosomal protein S2"
"MMT00000356","Rpl29","ribosomal protein L29"
"MMT00000358","Limk1","LIM-domain containing, protein kinase"
"MMT00000359","Hmga1l4","high mobility group AT-hook 1-like 4"
"MMT00000363","Apg5l","autophagy 5-like (S. cerevisiae)"
"MMT00000365","Gltp",NA
"MMT00000366","2410016F19Rik","RIKEN cDNA 2410016F19 gene"
"MMT00000368","Spry1","sprouty homolog 1 (Drosophila)"
"MMT00000372",NA,NA
"MMT00000373","Eomes","eomesodermin homolog (Xenopus laevis)"
"MMT00000380","Fah","fumarylacetoacetate hydrolase"
"MMT00000384","Ebi3","Epstein-Barr virus induced gene 3"
"MMT00000385",NA,NA
"MMT00000386","Slc22a4","solute carrier family 22 (organic cation transporter), member 4"
"MMT00000391",NA,NA
"MMT00000396","F830021D11Rik","RIKEN cDNA F830021D11 gene"
"MMT00000401","Slc38a4","solute carrier family 38, member 4"
"MMT00000408","Rps2","ribosomal protein S2"
"MMT00000411","Ankra2","ankyrin repeat, family A (RFXANK-like), 2"
"MMT00000414","Olfr1045","olfactory receptor 1045"
"MMT00000417","Exosc6","exosome component 6"
"MMT00000418",NA,NA
"MMT00000422","Ly9","lymphocyte antigen 9"
"MMT00000423",NA,NA
"MMT00000425","Fxyd2","FXYD domain-containing ion transport regulator 2"
"MMT00000426","2810439M05Rik","RIKEN cDNA 2810439M05 gene"
"MMT00000430","Trem1","triggering receptor expressed on myeloid cells 1"
"MMT00000434","Ucn2","urocortin 2"
"MMT00000440","Myh11","myosin heavy chain 11, smooth muscle"
"MMT00000451","Maf","avian musculoaponeurotic fibrosarcoma (v-maf) AS42 oncogene homolog"
"MMT00000452","Mtap1b","microtubule-associated protein 1 B"
"MMT00000455",NA,NA
"MMT00000461","BC022224","cDNA sequence BC022224"
"MMT00000464","Srebf2","sterol regulatory element binding factor 2"
"MMT00000475",NA,NA
"MMT00000483","Cdh20","cadherin 20"
"MMT00000486",NA,NA
"MMT00000492","Arpp19","cAMP-regulated phosphoprotein 19"
"MMT00000496","Ppp2r1a","protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform"
"MMT00000499","4930483J18Rik","RIKEN cDNA 4930483J18 gene"
"MMT00000510","1700125H20Rik","RIKEN cDNA 1700125H20 gene"
"MMT00000515","D17Wsu92e","DNA segment, Chr 17, Wayne State University 92, expressed"
"MMT00000517","Magee1","melanoma antigen, family E, 1"
"MMT00000519","Gng4","guanine nucleotide binding protein (G protein), gamma 4 subunit"
"MMT00000522","Ddr2","discoidin domain receptor family, member 2"
"MMT00000524","Macf1","microtubule-actin crosslinking factor 1"
"MMT00000525",NA,NA
"MMT00000528","Pofut1","protein O-fucosyltransferase 1"
"MMT00000539","Taf11","TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor"
"MMT00000545","Anks1","ankyrin repeat and SAM domain containing 1"
"MMT00000549",NA,NA
"MMT00000550",NA,NA
"MMT00000558","Trim41","tripartite motif-containing 41"
"MMT00000567","D230010M03Rik","RIKEN cDNA D230010M03 gene"
"MMT00000570","Ier3","immediate early response 3"
"MMT00000571",NA,NA
"MMT00000573","1300006C19Rik","RIKEN cDNA 1300006C19 gene"
"MMT00000574","Pmm1","phosphomannomutase 1"
"MMT00000576","2310042L06Rik","RIKEN cDNA 2310042L06 gene"
"MMT00000586","Ube2a","ubiquitin-conjugating enzyme E2A, RAD6 homolog (S. cerevisiae)"
"MMT00000597","Rbm3","RNA binding motif protein 3"
"MMT00000598","Kbtbd4","kelch repeat and BTB (POZ) domain containing 4"
"MMT00000599","D9Ertd660e","DNA segment, Chr 9, ERATO Doi 660, expressed"
"MMT00000602","Scrg3","scrapie responsive gene 3"
"MMT00000608","Ccl5","chemokine (C-C motif) ligand 5"
"MMT00000609","2610528E23Rik","RIKEN cDNA 2610528E23 gene"
"MMT00000619","BC010801","cDNA sequence BC010801"
"MMT00000625","4933403H06Rik","RIKEN cDNA 4933403H06 gene"
"MMT00000636","Zfp191","zinc finger protein 191"
"MMT00000641","2610033C09Rik","RIKEN cDNA 2610033C09 gene"
"MMT00000646","Nt5c3","5'-nucleotidase, cytosolic III"
"MMT00000649","8030498B09Rik","RIKEN cDNA 8030498B09 gene"
"MMT00000650","B830021E24Rik","RIKEN cDNA B830021E24 gene"
"MMT00000652","2410004H05Rik","RIKEN cDNA 2410004H05 gene"
"MMT00000654","2410089E03Rik","RIKEN cDNA 2410089E03 gene"
"MMT00000656","Btn1a1","butyrophilin, subfamily 1, member A1"
"MMT00000661","2610003J06Rik","RIKEN cDNA 2610003J06 gene"
"MMT00000662","Olfr1412","olfactory receptor 1412"
"MMT00000664","Trp53rk","TP53 regulating kinase"
"MMT00000668","4833422F06Rik","RIKEN cDNA 4833422F06 gene"
"MMT00000677","Tekt2","tektin 2"
"MMT00000678","Mapt","microtubule-associated protein tau"
"MMT00000686","A930041I02Rik","RIKEN cDNA A930041I02 gene"
"MMT00000689","DXBwg1396e","DNA segment, Chr X, Brigham & Women's Genetics 1396 expressed"
"MMT00000696","Adss","adenylosuccinate synthetase, muscle"
"MMT00000701","V1rc13","vomeronasal 1 receptor, C13"
"MMT00000702","4732468D17Rik","RIKEN cDNA 4732468D17 gene"
"MMT00000703","Gadd45g","growth arrest and DNA-damage-inducible 45 gamma"
"MMT00000704","2410089E03Rik","RIKEN cDNA 2410089E03 gene"
"MMT00000707","4932431K08Rik","RIKEN cDNA 4932431K08 gene"
"MMT00000708","Rpl24","ribosomal protein L24"
"MMT00000711","Olfr701","olfactory receptor 701"
"MMT00000713","Slc7a9","solute carrier family 7 (cationic amino acid transporter, y+ system), member 9"
"MMT00000714",NA,NA
"MMT00000717",NA,NA
"MMT00000718","Fgf2","fibroblast growth factor 2"
"MMT00000719","Snrpa","small nuclear ribonucleoprotein polypeptide A"
"MMT00000720","Fshprh1","FSH primary response 1"
"MMT00000722",NA,NA
"MMT00000726","Rbpsuh","recombining binding protein suppressor of hairless (Drosophila)"
"MMT00000729","Rpl7a","ribosomal protein L7a"
"MMT00000733","9830168K20",NA
"MMT00000739","Tnfsf14","tumor necrosis factor (ligand) superfamily, member 14"
"MMT00000743","Sqle","squalene epoxidase"
"MMT00000744",NA,NA
"MMT00000745",NA,NA
"MMT00000747","Tiparp","TCDD-inducible poly(ADP-ribose) polymerase"
"MMT00000748",NA,NA
"MMT00000750","9830168K20",NA
"MMT00000752","9830168K20",NA
"MMT00000753","Chaf1a","chromatin assembly factor 1, subunit A (p150)"
"MMT00000757","A630007B06Rik","RIKEN cDNA A630007B06 gene"
"MMT00000760","Tcrb-J","T-cell receptor beta, joining region"
"MMT00000768","Scn3a","sodium channel, voltage-gated, type III, alpha polypeptide"
"MMT00000775",NA,NA
"MMT00000776",NA,NA
"MMT00000777","F3","coagulation factor III"
"MMT00000779","Dap","death-associated protein"
"MMT00000785","D6Wsu176e","DNA segment, Chr 6, Wayne State University 176, expressed"
"MMT00000787","Gabrg2","gamma-aminobutyric acid (GABA-A) receptor, subunit gamma 2"
"MMT00000790","2810405F18Rik","RIKEN cDNA 2810405F18 gene"
"MMT00000792",NA,NA
"MMT00000793","C330027C09Rik","RIKEN cDNA C330027C09 gene"
"MMT00000798","1100001I22Rik","RIKEN cDNA 1100001I22 gene"
"MMT00000801","4632419K20Rik","RIKEN cDNA 4632419K20 gene"
"MMT00000805","Pim1","proviral integration site 1"
"MMT00000806","Mrsb","methionine sulfoxide reductase B"
"MMT00000807","Kcna6","potassium voltage-gated channel, shaker-related, subfamily, member 6"
"MMT00000808",NA,NA
"MMT00000812",NA,NA
"MMT00000813","4632415L05Rik","RIKEN cDNA 4632415L05 gene"
"MMT00000814","1700026J12Rik","RIKEN cDNA 1700026J12 gene"
"MMT00000819",NA,NA
"MMT00000826","Cap1","CAP, adenylate cyclase-associated protein 1 (yeast)"
"MMT00000831","Xrcc1","X-ray repair complementing defective repair in Chinese hamster cells 1"
"MMT00000840","Col5a3","procollagen, type V, alpha 3"
"MMT00000846","Esm1","endothelial cell-specific molecule 1"
"MMT00000852","Atbf1","AT motif binding factor 1"
"MMT00000856","Bmp15","bone morphogenetic protein 15"
"MMT00000857","Fabp2","fatty acid binding protein 2, intestinal"
"MMT00000858","Lyl1","lymphoblastomic leukemia"
"MMT00000860","Sdhb","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"
"MMT00000862","Psmd13","proteasome (prosome, macropain) 26S subunit, non-ATPase, 13"
"MMT00000863","Adh6-ps1","alcohol dehydrogenase 6 (class V), pseudogene 1"
"MMT00000864","BC022744","cDNA sequence BC022744"
"MMT00000867","Il1f5","interleukin 1 family, member 5 (delta)"
"MMT00000868","Nhlrc2","NHL repeat containing 2"
"MMT00000874","1700016K13Rik","RIKEN cDNA 1700016K13 gene"
"MMT00000875","Pnma2","paraneoplastic antigen MA2"
"MMT00000880","Sox6","SRY-box containing gene 6"
"MMT00000883",NA,NA
"MMT00000887","Gne","glucosamine"
"MMT00000890","AMACO",NA
"MMT00000893","4930540L03Rik","RIKEN cDNA 4930540L03 gene"
"MMT00000897",NA,NA
"MMT00000899","Hsf4","heat shock transcription factor 4"
"MMT00000903","Dm15","dystrophia myotonica kinase, B15"
"MMT00000912","Mybl1","myeloblastosis oncogene-like 1"
"MMT00000916","Kif4","kinesin family member 4"
"MMT00000917","Spred1","sprouty protein with EVH-1 domain 1, related sequence"
"MMT00000919","Smtn","smoothelin"
"MMT00000926",NA,NA
"MMT00000927","Fzr1","fizzy/cell division cycle 20 related 1 (Drosophila)"
"MMT00000932","Socs4","suppressor of cytokine signaling 4"
"MMT00000935","Sfrs8","splicing factor, arginine/serine-rich 8"
"MMT00000936","Epb7.2","erythrocyte protein band 7.2"
"MMT00000943",NA,NA
"MMT00000944",NA,NA
"MMT00000954","Cad","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
"MMT00000956","Snai3","snail homolog 3 (Drosophila)"
"MMT00000961","Scn10a","sodium channel, voltage-gated, type X, alpha polypeptide"
"MMT00000963","Serpine1","serine (or cysteine) proteinase inhibitor, clade E, member 1"
"MMT00000965","Mrps25","mitochondrial ribosomal protein S25"
"MMT00000967",NA,NA
"MMT00000968","Nrxn3","neurexin III"
"MMT00000976","Olfr6","olfactory receptor 6"
"MMT00000977","Nrxn3","neurexin III"
"MMT00000988","Cxcl10","chemokine (C-X-C motif) ligand 10"
"MMT00000996","Tmem25","transmembrane protein 25"
"MMT00000999","0610007P22Rik","RIKEN cDNA 0610007P22 gene"
"MMT00001012","Ndufb7","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7"
"MMT00001022",NA,NA
"MMT00001031","Arch",NA
"MMT00001034","Helic1","helicase, ATP binding 1"
"MMT00001036","D830007E07",NA
"MMT00001040","Pde6g","phosphodiesterase 6G, cGMP-specific, rod, gamma"
"MMT00001044","Ndufa10","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10"
"MMT00001049","C030018G13Rik","RIKEN cDNA C030018G13 gene"
"MMT00001056","Snapap","SNAP-associated protein"
"MMT00001060","Osbpl10","oxysterol binding protein-like 10"
"MMT00001061","2310076L09Rik","RIKEN cDNA 2310076L09 gene"
"MMT00001062","Hmga1","high mobility group AT-hook 1"
"MMT00001074",NA,NA
"MMT00001077","Ngfrap1","nerve growth factor receptor (TNFRSF16) associated protein 1"
"MMT00001081","Slc35f5","solute carrier family 35, member F5"
"MMT00001082","2810452K22Rik","RIKEN cDNA 2810452K22 gene"
"MMT00001085","1700001C14Rik","RIKEN cDNA 1700001C14 gene"
"MMT00001100","Mcoln1","mucolipin 1"
"MMT00001105","Rchy1","ring finger and CHY zinc finger domain containing 1"
"MMT00001106","2700050C12Rik","RIKEN cDNA 2700050C12 gene"
"MMT00001110","Galt","galactose-1-phosphate uridyl transferase"
"MMT00001112","Gadd45a","growth arrest and DNA-damage-inducible 45 alpha"
"MMT00001121","Tnfrsf8","tumor necrosis factor receptor superfamily, member 8"
"MMT00001126","1810046I24Rik","RIKEN cDNA 1810046I24 gene"
"MMT00001142","Capzb","capping protein (actin filament) muscle Z-line, beta"
"MMT00001147","Olfr52","olfactory receptor 52"
"MMT00001154","2600001J17Rik","RIKEN cDNA 2600001J17 gene"
"MMT00001155","1810030J14Rik","RIKEN cDNA 1810030J14 gene"
"MMT00001156","9630028I04Rik","RIKEN cDNA 9630028I04 gene"
"MMT00001160","1500009C09Rik","RIKEN cDNA 1500009C09 gene"
"MMT00001163","1700018O18Rik","RIKEN cDNA 1700018O18 gene"
"MMT00001164","Phf5a","PHD finger protein 5A"
"MMT00001167",NA,NA
"MMT00001175","Dncic1","dynein, cytoplasmic, intermediate chain 1"
"MMT00001177","Strn","striatin, calmodulin binding protein"
"MMT00001178","Rbpsuhl","recombining binding protein suppressor of hairless-like (Drosophila)"
"MMT00001179","Grm4","glutamate receptor, metabotropic 4"
"MMT00001185","Nrarp","Notch-regulated ankyrin repeat protein"
"MMT00001190",NA,NA
"MMT00001192","Olfr140","olfactory receptor 140"
"MMT00001194",NA,NA
"MMT00001197","Ndufs5","NADH dehydrogenase (ubiquinone) Fe-S protein 5"
"MMT00001201","Rfx2","regulatory factor X, 2 (influences HLA class II expression)"
"MMT00001203","Agpt","angiopoietin"
"MMT00001206","F830021D11Rik","RIKEN cDNA F830021D11 gene"
"MMT00001208","C920005C14Rik","RIKEN cDNA C920005C14 gene"
"MMT00001210","C920005C14Rik","RIKEN cDNA C920005C14 gene"
"MMT00001213","Rpl29","ribosomal protein L29"
"MMT00001214",NA,NA
"MMT00001216","D0HXS9928E","DNA segment, human DXS9928E"
"MMT00001222",NA,NA
"MMT00001223","Oas1d","2'-5' oligoadenylate synthetase 1D"
"MMT00001225","Golga1","golgi autoantigen, golgin subfamily a, 1"
"MMT00001228","Bloc1s1","biogenesis of lysosome-related organelles complex-1, subunit 1"
"MMT00001230",NA,NA
"MMT00001231","Fgg","fibrinogen, gamma polypeptide"
"MMT00001234","Pik3c3","phosphoinositide-3-kinase, class 3"
"MMT00001242","Olfr127","olfactory receptor 127"
"MMT00001245","Cdca3","cell division cycle associated 3"
"MMT00001253","Csen","calsenilin, presenilin binding protein, EF hand transcription factor"
"MMT00001258","D130043K22Rik","RIKEN cDNA D130043K22 gene"
"MMT00001259","Stxbp4","syntaxin binding protein 4"
"MMT00001260","Sgol2","shugoshin-like 2 (S. pombe)"
"MMT00001261","Cpne6","copine VI"
"MMT00001263","Comt","catechol-O-methyltransferase"
"MMT00001267","6530404F10Rik",NA
"MMT00001271","A930037J23Rik","RIKEN cDNA A930037J23 gene"
"MMT00001290","4932431K08Rik","RIKEN cDNA 4932431K08 gene"
"MMT00001291",NA,NA
"MMT00001292","Uty","ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome"
"MMT00001293","Usp1","ubiquitin specific protease 1"
"MMT00001295","Uts2","urotensin 2"
"MMT00001296","Olfr390","olfactory receptor 390"
"MMT00001298","D630032B01Rik","RIKEN cDNA D630032B01 gene"
"MMT00001307","Kif5c","kinesin family member 5C"
"MMT00001308","Bmp3","bone morphogenetic protein 3"
"MMT00001313","Rpl35","ribosomal protein L35"
"MMT00001318","Lsm8","LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
"MMT00001322","Fgf15","fibroblast growth factor 15"
"MMT00001328","C330016H24Rik","RIKEN cDNA C330016H24 gene"
"MMT00001340","Abcb1b","ATP-binding cassette, sub-family B (MDR/TAP), member 1B"
"MMT00001341","2210008I11Rik","RIKEN cDNA 2210008I11 gene"
"MMT00001342","Sertad3","SERTA domain containing 3"
"MMT00001343","Arpp21",NA
"MMT00001354","4933405A16Rik","RIKEN cDNA 4933405A16 gene"
"MMT00001358","Thoc4","THO complex 4"
"MMT00001359","Akt3","thymoma viral proto-oncogene 3"
"MMT00001363","1190002A17Rik","RIKEN cDNA 1190002A17 gene"
"MMT00001364","Pex16","peroxisome biogenesis factor 16"
"MMT00001366","Nat2","N-acetyltransferase 2 (arylamine N-acetyltransferase)"
"MMT00001369","BC031593","cDNA sequence BC031593"
"MMT00001370","Siah2","seven in absentia 2"
"MMT00001372","Gm2a","GM2 ganglioside activator protein"
"MMT00001373","Rnps1","ribonucleic acid binding protein S1"
"MMT00001375",NA,NA
"MMT00001377","Brms1l","breast cancer metastasis-suppressor 1-like"
"MMT00001383","Ap1m2","adaptor protein complex AP-1, mu 2 subunit"
"MMT00001387","Ly108","lymphocyte antigen 108"
"MMT00001388","Dcdc2","doublecortin domain containing 2"
"MMT00001392","0610009J22Rik","RIKEN cDNA 0610009J22 gene"
"MMT00001393","6720401E04Rik","RIKEN cDNA 6720401E04 gene"
"MMT00001394","Frk","fyn-related kinase"
"MMT00001396","C730042F17Rik","RIKEN cDNA C730042F17 gene"
"MMT00001397","Pbef1","pre-B-cell colony-enhancing factor 1"
"MMT00001398","BC021790","cDNA sequence BC021790"
"MMT00001399","AW060766","expressed sequence AW060766"
"MMT00001400","Psmc1","protease (prosome, macropain) 26S subunit, ATPase 1"
"MMT00001409","Amotl2","angiomotin like 2"
"MMT00001411","Osgep","O-sialoglycoprotein endopeptidase"
"MMT00001413","Lu","Lutheran blood group (Auberger b antigen included)"
"MMT00001423",NA,NA
"MMT00001424","A930037J23Rik","RIKEN cDNA A930037J23 gene"
"MMT00001426","Dnajc7","DnaJ (Hsp40) homolog, subfamily C, member 7"
"MMT00001432","Olfr642","olfactory receptor 642"
"MMT00001434","Dars","aspartyl-tRNA synthetase"
"MMT00001440","5330426P16Rik","RIKEN cDNA 5330426P16 gene"
"MMT00001441","1700007K13Rik","RIKEN cDNA 1700007K13 gene"
"MMT00001448","Gmeb1","glucocorticoid modulatory element binding protein 1"
"MMT00001465","Rnf110","ring finger protein 110"
"MMT00001483","Ppp2r2a","protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform"
"MMT00001484","1700007N18Rik","RIKEN cDNA 1700007N18 gene"
"MMT00001486","9930023K05Rik","RIKEN cDNA 9930023K05 gene"
"MMT00001490",NA,NA
"MMT00001495","Ptk2b","PTK2 protein tyrosine kinase 2 beta"
"MMT00001496","BC017158","cDNA sequence BC017158"
"MMT00001505","Fosb","FBJ osteosarcoma oncogene B"
"MMT00001510","Tcf1","transcription factor 1"
"MMT00001513","Mfap5","microfibrillar associated protein 5"
"MMT00001514","Nicn1","nicolin 1"
"MMT00001515","A630007B06Rik","RIKEN cDNA A630007B06 gene"
"MMT00001517","Pp11r","placental protein 11 related"
"MMT00001523","0610009O20Rik","RIKEN cDNA 0610009O20 gene"
"MMT00001531","BC024760","cDNA sequence BC024760"
"MMT00001540","2410039E07Rik","RIKEN cDNA 2410039E07 gene"
"MMT00001543",NA,NA
"MMT00001545",NA,NA
"MMT00001548","C130063H03Rik","RIKEN cDNA C130063H03 gene"
"MMT00001549",NA,NA
"MMT00001550","AA691260","expressed sequence AA691260"
"MMT00001555","Tle1","transducin-like enhancer of split 1, homolog of Drosophila E(spl)"
"MMT00001557","V1rd1","vomeronasal 1 receptor, D1"
"MMT00001558","Kcna1","potassium voltage-gated channel, shaker-related subfamily, member 1"
"MMT00001565","Gm443","gene model 443, (NCBI)"
"MMT00001566","Rfk","riboflavin kinase"
"MMT00001569",NA,NA
"MMT00001575","Atp6v1a1","ATPase, H+ transporting, V1 subunit A, isoform 1"
"MMT00001586",NA,NA
"MMT00001587","Rps3a","ribosomal protein S3a"
"MMT00001589","Crim1","cysteine-rich motor neuron 1"
"MMT00001591","Olfr474","olfactory receptor 474"
"MMT00001592","Kif9","kinesin family member 9"
"MMT00001595",NA,NA
"MMT00001596","Myh7","myosin, heavy polypeptide 7, cardiac muscle, beta"
"MMT00001605","0610007L01Rik","RIKEN cDNA 0610007L01 gene"
"MMT00001607",NA,NA
"MMT00001613","Surf6","surfeit gene 6"
"MMT00001614","AI315119","expressed sequence AI315119"
"MMT00001615","Olfr477","olfactory receptor 477"
"MMT00001617",NA,NA
"MMT00001618","Mpz","myelin protein zero"
"MMT00001620","Ppp1cc","protein phosphatase 1, catalytic subunit, gamma isoform"
"MMT00001621","Ing4","inhibitor of growth family, member 4"
"MMT00001623","4930471M23Rik","RIKEN cDNA 4930471M23 gene"
"MMT00001629",NA,NA
"MMT00001633",NA,NA
"MMT00001637","Utf1","undifferentiated embryonic cell transcription factor 1"
"MMT00001638","Olfr481","olfactory receptor 481"
"MMT00001641","B230324K02",NA
"MMT00001645","Fabp6","fatty acid binding protein 6, ileal (gastrotropin)"
"MMT00001646","Hmgb1","high mobility group box 1"
"MMT00001647","Slc5a6","solute carrier family 5 (sodium-dependent vitamin transporter), member 6"
"MMT00001648","Mapbpip",NA
"MMT00001652","Cyp2f2","cytochrome P450, family 2, subfamily f, polypeptide 2"
"MMT00001662","Tmeff2","transmembrane protein with EGF-like and two follistatin-like domains 2"
"MMT00001668","1700010M22Rik","RIKEN cDNA 1700010M22 gene"
"MMT00001669","Olfr484","olfactory receptor 484"
"MMT00001670","Olfr214","olfactory receptor 214"
"MMT00001671","Cnnm4","cyclin M4"
"MMT00001672","2410007P03Rik","RIKEN cDNA 2410007P03 gene"
"MMT00001673",NA,NA
"MMT00001675","C330018D20Rik","RIKEN cDNA C330018D20 gene"
"MMT00001676","1190005P17Rik","RIKEN cDNA 1190005P17 gene"
"MMT00001679","A530081L18Rik","RIKEN cDNA A530081L18 gene"
"MMT00001681",NA,NA
"MMT00001683","Kctd7","potassium channel tetramerisation domain containing 7"
"MMT00001688","9530090G24Rik","RIKEN cDNA 9530090G24 gene"
"MMT00001689",NA,NA
"MMT00001692","Stra6","stimulated by retinoic acid gene 6"
"MMT00001695","Gabarapl2","GABA(A) receptor-associated protein like 2"
"MMT00001696",NA,NA
"MMT00001698","Top2a","topoisomerase (DNA) II alpha"
"MMT00001700","Tfpt","TCF3 (E2A) fusion partner"
"MMT00001706","Rps6ka1","ribosomal protein S6 kinase polypeptide 1"
